abt_id,buy_id,retailer,week_start_date,price,is_synthetic
38477,10011646,ABT,2026-06-16,44.18,True
38477,10011646,ABT,2026-06-23,43.82,True
38477,10011646,ABT,2026-06-30,41.42,True
38477,10011646,ABT,2026-07-07,41.33,True
38477,10011646,ABT,2026-07-14,35.37,True
38477,10011646,ABT,2026-07-21,35.51,True
38477,10011646,ABT,2026-07-28,35.81,True
38477,10011646,ABT,2026-08-04,35.27,True
38477,10011646,ABT,2026-08-11,35.0,True
38477,10011646,BUY,2026-06-16,36.32,True
38477,10011646,BUY,2026-06-23,32.69,True
38477,10011646,BUY,2026-06-30,32.14,True
38477,10011646,BUY,2026-07-07,32.49,True
38477,10011646,BUY,2026-07-14,30.9,True
38477,10011646,BUY,2026-07-21,30.88,True
38477,10011646,BUY,2026-07-28,30.48,True
38477,10011646,BUY,2026-08-04,30.81,True
38477,10011646,BUY,2026-08-11,31.06,True
38475,10140760,ABT,2026-06-09,29.29,True
38475,10140760,ABT,2026-06-16,29.64,True
38475,10140760,ABT,2026-06-23,29.78,True
38475,10140760,ABT,2026-06-30,29.51,True
38475,10140760,ABT,2026-07-07,29.67,True
38475,10140760,ABT,2026-07-14,29.34,True
38475,10140760,ABT,2026-07-21,29.36,True
38475,10140760,ABT,2026-07-28,29.8,True
38475,10140760,ABT,2026-08-04,30.13,True
38475,10140760,ABT,2026-08-11,30.48,True
38475,10140760,BUY,2026-06-09,29.12,True
38475,10140760,BUY,2026-06-16,29.22,True
38475,10140760,BUY,2026-06-23,29.0,True
38475,10140760,BUY,2026-06-30,29.0,True
38475,10140760,BUY,2026-07-07,28.46,True
38475,10140760,BUY,2026-07-14,28.5,True
38475,10140760,BUY,2026-07-21,32.26,True
38475,10140760,BUY,2026-07-28,32.43,True
38475,10140760,BUY,2026-08-04,33.62,True
38475,10140760,BUY,2026-08-11,33.34,True
33053,10221960,ABT,2026-06-09,43.23,True
33053,10221960,ABT,2026-06-16,42.77,True
33053,10221960,ABT,2026-06-23,42.5,True
33053,10221960,ABT,2026-06-30,42.09,True
33053,10221960,ABT,2026-07-07,41.8,True
33053,10221960,ABT,2026-07-14,40.98,True
33053,10221960,ABT,2026-07-21,41.26,True
33053,10221960,ABT,2026-07-28,41.18,True
33053,10221960,ABT,2026-08-04,44.41,True
33053,10221960,ABT,2026-08-11,44.49,True
33053,10221960,BUY,2026-06-09,40.63,True
33053,10221960,BUY,2026-06-16,40.24,True
33053,10221960,BUY,2026-06-23,39.24,True
33053,10221960,BUY,2026-06-30,39.8,True
33053,10221960,BUY,2026-07-07,40.81,True
33053,10221960,BUY,2026-07-14,39.92,True
33053,10221960,BUY,2026-07-21,39.93,True
33053,10221960,BUY,2026-07-28,39.16,True
33053,10221960,BUY,2026-08-04,38.86,True
33053,10221960,BUY,2026-08-11,39.56,True
27248,10246269,ABT,2026-06-16,255.0,True
